x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
1 1 38.657912 -107.074435 0.42 0.19 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 38.659072 -107.062687 0.44 0.16 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1 38.660230 -107.050938 0.43 0.17 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 38.661388 -107.039188 0.44 0.16 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 38.662543 -107.027438 0.41 0.20 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
6 1 38.663698 -107.015688 0.39 0.24 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 1 38.664851 -107.003938 0.50 0.18 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
8 1 38.666002 -106.992186 0.40 0.23 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 1 38.667153 -106.980435 0.53 0.17 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
10 1 38.668302 -106.968683 0.53 0.15 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
11 1 38.669449 -106.956930 0.48 0.16 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
12 1 38.670596 -106.945177 0.39 0.25 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 1 38.671741 -106.933424 0.38 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 1 38.672884 -106.921670 0.37 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 1 38.674026 -106.909916 0.37 0.27 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
16 1 38.675167 -106.898162 0.37 0.27 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 1 38.676307 -106.886407 0.37 0.27 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 1 38.677445 -106.874651 0.37 0.28 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 1 38.678582 -106.862895 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 1 38.679718 -106.851139 0.55 0.16 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 1 38.680852 -106.839382 0.65 0.11 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
22 1 38.681985 -106.827625 0.45 0.21 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 1 38.683116 -106.815868 0.46 0.16 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 1 38.684246 -106.804110 0.56 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
25 1 38.685375 -106.792351 0.62 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
26 1 38.686503 -106.780592 0.68 0.12 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 1 38.687629 -106.768833 0.68 0.12 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 1 38.688754 -106.757073 0.68 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
29 1 38.689877 -106.745313 0.67 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
30 1 38.690999 -106.733553 0.64 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
31 1 38.692120 -106.721792 0.52 0.11 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 1 38.693239 -106.710030 0.46 0.12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 2 38.667087 -107.075921 0.44 0.15 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 38.668246 -107.064171 0.44 0.16 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 2 38.669405 -107.052421 0.43 0.17 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 2 38.670562 -107.040669 0.44 0.16 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2 38.671718 -107.028918 0.43 0.19 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 2 38.672873 -107.017166 0.30 0.27 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
7 2 38.674026 -107.005414 0.34 0.26 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
8 2 38.675178 -106.993661 0.37 0.24 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
9 2 38.676328 -106.981907 0.54 0.14 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
10 2 38.677478 -106.970154 0.38 0.26 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11 2 38.678625 -106.958400 0.37 0.29 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
12 2 38.679772 -106.946645 0.36 0.30 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
13 2 38.680917 -106.934890 0.37 0.28 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
14 2 38.682061 -106.923135 0.38 0.24 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
15 2 38.683203 -106.911379 0.37 0.26 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 2 38.684344 -106.899622 0.39 0.22 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 2 38.685484 -106.887866 0.37 0.27 5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 2 38.686623 -106.876109 0.37 0.28 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19 2 38.687760 -106.864351 0.36 0.29 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 2 38.688895 -106.852593 0.55 0.16 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 2 38.690030 -106.840835 0.58 0.16 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
