date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2017-04-15,15.77818701,-6.263130179,56.40298657,2.209815332,,0.545076112
2017-04-16,12.77577123,-3.385390528,53.32206291,2.447662249,,0.441354112
2017-04-17,13.56048983,-5.207305809,47.81282719,3.702377332,,0.468463143
2017-04-18,17.10475832,0.302492586,66.65274507,5.833460538,,0.590904086
2017-04-19,18.65236769,-15.14551499,66.69450796,6.739791157,,0.64436808
2017-04-20,6.84138206,1.5733298,25.03739364,1.498177548,,0.236343627
2017-04-21,18.01010863,4.545846622,40.07326973,-0.295309825,,0.570332109
2017-04-22,22.14063842,10.27968082,47.04471739,-0.469359361,,0.764874514
2017-04-23,18.19184173,-3.234497792,75.9044196,3.750483012,,0.628458667
2017-04-24,14.53186988,-2.364804617,55.53644898,5.113922015,,0.355597935
2017-04-25,22.72693411,6.06692852,22.78513704,0.215015711,,0.359850696
2017-04-26,18.37103068,9.869323126,40.68712989,-0.545922797,,0.634648961
2017-04-27,22.66356723,8.656229025,-4.702019615,-0.711990873,,0.391469854
2017-04-28,22.31157925,17.58902539,14.21296332,-2.539341634,,0.481737417
2017-04-29,27.85533619,8.312242266,27.23688761,-2.763186742,,0.9622955
2017-04-30,55.50793192,-3.431672999,59.99197264,-0.010342436,,1.917587092
2017-05-01,28.75273515,-3.044912672,62.54208239,3.94779133,,0.993297208
2017-05-02,17.91497979,10.06609975,74.9692245,2.233646669,,0.593106888
2017-05-03,59.7111648,3.983710826,125.2161728,5.374257133,,1.289245462
2017-05-04,28.83786537,7.025728071,136.2401819,5.589240024,,0.996238132
2017-05-05,31.64877031,17.20217996,177.2890678,7.632950274,,1.093344164
2017-05-06,25.07832348,10.77716591,130.1919068,7.74845104,,0.866360315
2017-05-07,27.55768772,19.81600446,186.4407475,8.038183921,,0.952012883
2017-05-08,32.09868479,16.20584698,111.6269135,6.628100011,,1.108886992
2017-05-09,33.68805218,26.96929522,128.3799962,5.191793693,,1.01831937
2017-05-10,48.35366447,42.30315604,149.1489197,5.821057757,,1.252825853
2017-05-11,50.90405535,67.45313323,254.771867,6.773152209,,1.685268206
