date,380:CO:SNTL,737:CO:SNTL
2016-10-01,0.0,0.0
2016-10-02,0.0,0.0
2016-10-03,0.0,0.0
2016-10-04,0.0,0.0
2016-10-05,0.0,0.0
2016-10-06,0.0,0.0
2016-10-07,0.0,0.0
2016-10-08,0.0,0.0
2016-10-09,0.0,0.0
2016-10-10,0.0,0.0
2016-10-11,0.0,0.0
2016-10-12,0.0,0.0
2016-10-13,0.0,0.0
2016-10-14,0.0,0.0
2016-10-15,0.0,0.0
2016-10-16,0.0,0.0
2016-10-17,0.0,0.0
2016-10-18,0.0,0.0
2016-10-19,0.0,0.0
2016-10-20,0.0,0.0
2016-10-21,0.0,0.0
2016-10-22,0.0,0.0
2016-10-23,0.0,0.0
2016-10-24,0.0,0.0
2016-10-25,0.0,0.0
2016-10-26,0.0,0.0
2016-10-27,0.0,0.0
2016-10-28,0.0,0.0
2016-10-29,0.0,0.0
2016-10-30,0.0,0.0
2016-10-31,0.0,0.0
2016-11-01,0.0,0.0
2016-11-02,0.0,5.08
2016-11-03,0.0,5.08
2016-11-04,0.0,2.54
2016-11-05,0.0,0.0
2016-11-06,0.0,0.0
2016-11-07,0.0,0.0
2016-11-08,0.0,0.0
2016-11-09,0.0,0.0
2016-11-10,0.0,0.0
2016-11-11,0.0,0.0
2016-11-12,0.0,0.0
2016-11-13,0.0,0.0
2016-11-14,0.0,0.0
2016-11-15,0.0,0.0
2016-11-16,0.0,0.0
2016-11-17,0.0,0.0
2016-11-18,2.54,33.019999999999996
2016-11-19,7.619999999999999,33.019999999999996
2016-11-20,7.619999999999999,35.559999999999995
2016-11-21,7.619999999999999,35.559999999999995
2016-11-22,15.239999999999998,53.339999999999996
2016-11-23,15.239999999999998,58.419999999999995
2016-11-24,17.779999999999998,63.5
2016-11-25,17.779999999999998,71.11999999999999
2016-11-26,17.779999999999998,71.11999999999999
2016-11-27,20.32,76.19999999999999
2016-11-28,35.559999999999995,111.76
2016-11-29,40.64,127.0
2016-11-30,38.099999999999994,127.0
2016-12-01,38.099999999999994,127.0
2016-12-02,38.099999999999994,129.54
2016-12-03,38.099999999999994,134.61999999999998
